time	V(sw)
4.719050155492554e-005	1.304262e+001
4.719550155492551e-005	1.011351e+001
4.720050155492548e-005	7.098054e+000
4.720473145787465e-005	4.905972e+000
4.720883291680516e-005	3.315660e+000
4.721205170225059e-005	2.260821e+000
4.721502192219927e-005	1.296715e+000
4.721828759631668e-005	3.136759e-001
4.721914146919165e-005	1.518797e-001
4.721962689622139e-005	1.187416e-001
4.721986279685527e-005	1.102746e-001
4.722016582275261e-005	1.003020e-001
4.722049362741753e-005	9.190957e-002
4.722106070958218e-005	8.067914e-002
4.722177233966408e-005	7.009176e-002
4.722270225369224e-005	6.006149e-002
4.722372928459375e-005	5.216504e-002
4.722523585015746e-005	4.391867e-002
4.722660892047723e-005	3.848771e-002
4.722848517854021e-005	3.312965e-002
4.723050716373732e-005	2.883315e-002
4.723296469478664e-005	2.494890e-002
4.723580907087786e-005	2.156330e-002
4.723922647116921e-005	1.849477e-002
4.724305098665694e-005	1.592695e-002
4.724805098665691e-005	1.345063e-002
4.725293910619105e-005	1.168625e-002
4.725793910619102e-005	1.039536e-002
4.726293910619099e-005	9.466273e-003
4.726793910619096e-005	8.791294e-003
4.727293910619093e-005	8.289625e-003
4.727793910619090e-005	7.903657e-003
4.728293910619087e-005	7.594241e-003
4.728793910619084e-005	7.336068e-003
4.729293910619081e-005	7.113405e-003
4.729793910619078e-005	6.916938e-003
4.730293910619075e-005	6.741112e-003
4.730793910619072e-005	6.582742e-003
4.731293910619069e-005	6.439778e-003
4.731793910619066e-005	6.310956e-003
4.732293910619063e-005	6.195255e-003
4.732793910619060e-005	6.091954e-003
4.733293910619057e-005	6.000339e-003
4.733793910619054e-005	5.919858e-003
4.734293910619051e-005	5.849911e-003
4.734793910619048e-005	5.790020e-003
4.735293910619045e-005	5.739653e-003
4.735793910619042e-005	5.698382e-003
4.736293910619039e-005	5.665728e-003
4.736793910619036e-005	5.641304e-003
4.737293910619033e-005	5.624676e-003
4.737793910619030e-005	5.615497e-003
4.738293910619027e-005	5.613372e-003
4.738793910619025e-005	5.617987e-003
4.739293910619022e-005	5.628986e-003
4.739793910619019e-005	5.646084e-003
4.740293910619016e-005	5.668959e-003
4.740793910619013e-005	5.697353e-003
4.741293910619010e-005	5.730975e-003
4.741793910619007e-005	5.769591e-003
4.742293910619004e-005	5.812937e-003
4.743293910618998e-005	5.912949e-003
4.744293910618992e-005	6.029293e-003
4.745293910618986e-005	6.160417e-003
4.746793910618977e-005	6.381777e-003
4.748293910618968e-005	6.629058e-003
4.749793910618959e-005	6.898662e-003
4.751293910618950e-005	7.187471e-003
4.752793910618941e-005	7.492820e-003
4.754293910618932e-005	7.812402e-003
4.755793910618924e-005	8.144244e-003
4.757293910618915e-005	8.486636e-003
4.758793910618906e-005	8.838118e-003
4.760293910618897e-005	9.197427e-003
4.761793910618888e-005	9.563481e-003
4.763293910618879e-005	9.935346e-003
4.764793910618870e-005	1.031222e-002
4.766293910618861e-005	1.069341e-002
4.767793910618852e-005	1.107832e-002
4.769293910618843e-005	1.146644e-002
4.770793910618834e-005	1.185733e-002
4.772293910618826e-005	1.225061e-002
4.773793910618817e-005	1.264595e-002
4.775293910618808e-005	1.304307e-002
4.776793910618799e-005	1.344172e-002
4.778293910618790e-005	1.384170e-002
4.779793910618781e-005	1.424281e-002
4.781293910618772e-005	1.464491e-002
4.782793910618763e-005	1.504785e-002
4.783793910618757e-005	1.531690e-002
4.784793910618751e-005	1.558623e-002
4.785793910618745e-005	1.585583e-002
4.786793910618739e-005	1.612568e-002
4.787793910618734e-005	1.639574e-002
4.788793910618728e-005	1.666599e-002
4.789793910618722e-005	1.693643e-002
4.790793910618716e-005	1.720702e-002
4.791793910618710e-005	1.747776e-002
4.792793910618704e-005	1.774863e-002
4.793793910618698e-005	1.801961e-002
4.794793910618692e-005	1.829071e-002
