time	V(gg)	I(L1)
1.018695714283989e-005	0.000000e+000	5.106621e+000
1.018852857141117e-005	0.000000e+000	5.106633e+000
1.019009999998245e-005	0.000000e+000	5.106644e+000
1.019188571426800e-005	0.000000e+000	5.106655e+000
1.019367142855355e-005	0.000000e+000	5.106665e+000
1.019545714283910e-005	0.000000e+000	5.106674e+000
1.019724285712465e-005	0.000000e+000	5.106681e+000
1.019902857141020e-005	0.000000e+000	5.106687e+000
1.020081428569575e-005	0.000000e+000	5.106692e+000
1.020259999998129e-005	0.000000e+000	5.106695e+000
1.020509999998106e-005	0.000000e+000	5.106697e+000
1.020759999998083e-005	0.000000e+000	5.106695e+000
1.021009999998060e-005	0.000000e+000	5.106688e+000
1.021259999998037e-005	0.000000e+000	5.106678e+000
1.021509999998014e-005	0.000000e+000	5.106663e+000
1.021759999997990e-005	0.000000e+000	5.106645e+000
1.022009999997967e-005	0.000000e+000	5.106622e+000
1.022359999997935e-005	0.000000e+000	5.106581e+000
1.022488571426494e-005	0.000000e+000	5.106564e+000
1.022617142855054e-005	0.000000e+000	5.106545e+000
1.022745714283613e-005	0.000000e+000	5.106525e+000
1.022874285712173e-005	0.000000e+000	5.106504e+000
1.023002857140732e-005	0.000000e+000	5.106482e+000
1.023131428569292e-005	0.000000e+000	5.106458e+000
1.023259999997851e-005	0.000000e+000	5.106433e+000
1.023338571426416e-005	0.000000e+000	5.106417e+000
1.023417142854980e-005	0.000000e+000	5.106400e+000
1.023495714283544e-005	0.000000e+000	5.106383e+000
1.023574285712108e-005	0.000000e+000	5.106365e+000
1.023652857140672e-005	0.000000e+000	5.106347e+000
1.023731428569236e-005	0.000000e+000	5.106328e+000
1.023809999997800e-005	0.000000e+000	5.106309e+000
1.023909999997791e-005	0.000000e+000	5.106284e+000
1.023959999997787e-005	0.000000e+000	5.106271e+000
1.024009999997782e-005	0.000000e+000	5.106258e+000
1.024059999997777e-005	0.000000e+000	5.106245e+000
1.024109999997773e-005	0.000000e+000	5.106231e+000
1.024150503500635e-005	0.000000e+000	5.106220e+000
1.024187030216380e-005	0.000000e+000	5.106210e+000
1.024226357843701e-005	0.000000e+000	5.106199e+000
1.024268293319994e-005	0.000000e+000	5.106187e+000
1.024318293319990e-005	0.000000e+000	5.106173e+000
1.024368293319985e-005	0.000000e+000	5.106158e+000
1.024418293319980e-005	0.000000e+000	5.106144e+000
1.024568293319966e-005	0.000000e+000	5.106101e+000
1.024718293319953e-005	0.000000e+000	5.106057e+000
1.024868293319939e-005	0.000000e+000	5.106012e+000
1.025018293319925e-005	0.000000e+000	5.105968e+000
1.025118293319915e-005	0.000000e+000	5.105937e+000
1.025218293319906e-005	0.000000e+000	5.105907e+000
1.025268293319902e-005	0.000000e+000	5.105893e+000
1.025318293319897e-005	0.000000e+000	5.105877e+000
1.025368293319892e-005	0.000000e+000	5.105862e+000
1.025418293319888e-005	0.000000e+000	5.105847e+000
1.025468293319883e-005	0.000000e+000	5.105832e+000
1.025518293319878e-005	0.000000e+000	5.105817e+000
1.025568293319874e-005	0.000000e+000	5.105802e+000
1.025618293319869e-005	0.000000e+000	5.105786e+000
1.025668293319865e-005	0.000000e+000	5.105772e+000
1.025718293319860e-005	0.000000e+000	5.105756e+000
1.025768293319855e-005	0.000000e+000	5.105741e+000
1.025818293319851e-005	0.000000e+000	5.105726e+000
1.025868293319846e-005	0.000000e+000	5.105711e+000
1.025918293319841e-005	0.000000e+000	5.105695e+000
1.025968293319837e-005	0.000000e+000	5.105680e+000
1.026018293319832e-005	0.000000e+000	5.105664e+000
1.026068293319827e-005	0.000000e+000	5.105649e+000
1.026118293319823e-005	0.000000e+000	5.105634e+000
1.026168293319818e-005	0.000000e+000	5.105618e+000
1.026218293319814e-005	0.000000e+000	5.105603e+000
1.026268293319809e-005	0.000000e+000	5.105588e+000
1.026318293319804e-005	0.000000e+000	5.105573e+000
1.026368293319800e-005	0.000000e+000	5.105557e+000
