time	V(vd)	V(vg)	Id(M1)
4.490758259863541e-007	1.893669e+001	2.063431e+000	7.807736e-003
4.526472545574517e-007	1.893875e+001	1.972662e+000	7.281826e-003
4.562186831285493e-007	1.894065e+001	1.887066e+000	6.787040e-003
4.597901116996469e-007	1.894240e+001	1.806640e+000	6.323379e-003
4.633615402707445e-007	1.894399e+001	1.731387e+000	5.890843e-003
4.669329688418421e-007	1.894543e+001	1.661305e+000	5.489431e-003
4.705043974129397e-007	1.894671e+001	1.596395e+000	5.119143e-003
4.740758259840373e-007	1.894784e+001	1.536657e+000	4.779980e-003
4.785043974121982e-007	1.894913e+001	1.468117e+000	4.391869e-003
4.829329688403593e-007	1.895032e+001	1.404182e+000	4.030860e-003
4.873615402685203e-007	1.895141e+001	1.344854e+000	3.696952e-003
4.917901116966813e-007	1.895241e+001	1.290131e+000	3.390144e-003
4.962186831248423e-007	1.895331e+001	1.240015e+000	3.110439e-003
5.006472545530034e-007	1.895411e+001	1.194504e+000	2.857834e-003
5.050758259811643e-007	1.895482e+001	1.153600e+000	2.632330e-003
5.096472545521693e-007	1.895550e+001	1.114520e+000	2.417800e-003
5.142186831231742e-007	1.895614e+001	1.078072e+000	2.218566e-003
5.187901116941791e-007	1.895673e+001	1.044256e+000	2.034627e-003
5.233615402651840e-007	1.895728e+001	1.013071e+000	1.865984e-003
5.279329688361889e-007	1.895779e+001	9.845182e-001	1.712637e-003
5.325043974071939e-007	1.895825e+001	9.585968e-001	1.574585e-003
5.370758259781987e-007	1.895867e+001	9.353069e-001	1.451830e-003
5.417901116920476e-007	1.895907e+001	9.130438e-001	1.335334e-003
5.465043974058963e-007	1.895945e+001	8.922533e-001	1.227279e-003
5.512186831197452e-007	1.895981e+001	8.729353e-001	1.127665e-003
5.559329688335940e-007	1.896015e+001	8.550898e-001	1.036492e-003
5.606472545474429e-007	1.896047e+001	8.387169e-001	9.537593e-004
5.653615402612916e-007	1.896077e+001	8.238164e-001	8.794672e-004
5.700758259751405e-007	1.896104e+001	8.103886e-001	8.136159e-004
5.749329688318332e-007	1.896131e+001	7.975184e-001	7.512059e-004
5.797901116885259e-007	1.896157e+001	7.854621e-001	6.933395e-004
5.846472545452187e-007	1.896182e+001	7.742197e-001	6.400167e-004
5.895043974019114e-007	1.896205e+001	7.637913e-001	5.912375e-004
5.943615402586040e-007	1.896228e+001	7.541769e-001	5.470018e-004
5.992186831152968e-007	1.896249e+001	7.453763e-001	5.073098e-004
6.040758259719895e-007	1.896270e+001	7.373897e-001	4.721613e-004
6.093615402572139e-007	1.896291e+001	7.292868e-001	4.370862e-004
6.146472545424384e-007	1.896312e+001	7.216791e-001	4.046341e-004
6.199329688276628e-007	1.896333e+001	7.145666e-001	3.748050e-004
6.252186831128872e-007	1.896352e+001	7.079493e-001	3.475989e-004
6.305043973981117e-007	1.896372e+001	7.018272e-001	3.230157e-004
6.357901116833361e-007	1.896390e+001	6.962002e-001	3.010556e-004
6.410758259685605e-007	1.896408e+001	6.910685e-001	2.817184e-004
6.469329688251606e-007	1.896428e+001	6.857439e-001	2.620790e-004
6.527901116817607e-007	1.896447e+001	6.807268e-001	2.439236e-004
6.586472545383607e-007	1.896466e+001	6.760172e-001	2.272523e-004
6.645043973949608e-007	1.896484e+001	6.716150e-001	2.120650e-004
6.703615402515607e-007	1.896502e+001	6.675202e-001	1.983619e-004
6.762186831081608e-007	1.896520e+001	6.637328e-001	1.861429e-004
6.820758259647609e-007	1.896538e+001	6.602529e-001	1.754079e-004
6.887901116784244e-007	1.896558e+001	6.565014e-001	1.641225e-004
6.955043973920878e-007	1.896578e+001	6.529534e-001	1.536904e-004
7.022186831057513e-007	1.896597e+001	6.496089e-001	1.441117e-004
7.089329688194148e-007	1.896617e+001	6.464679e-001	1.353863e-004
7.156472545330783e-007	1.896636e+001	6.435303e-001	1.275143e-004
7.223615402467416e-007	1.896655e+001	6.407962e-001	1.204956e-004
7.290758259604051e-007	1.896674e+001	6.382657e-001	1.143302e-004
7.372186831025076e-007	1.896696e+001	6.353719e-001	1.074768e-004
7.453615402446101e-007	1.896719e+001	6.326285e-001	1.011453e-004
7.535043973867127e-007	1.896742e+001	6.300354e-001	9.533576e-005
7.616472545288152e-007	1.896764e+001	6.275927e-001	9.004808e-005
7.697901116709177e-007	1.896786e+001	6.253002e-001	8.528230e-005
7.779329688130202e-007	1.896808e+001	6.231581e-001	8.103843e-005
7.860758259551227e-007	1.896831e+001	6.211663e-001	7.731646e-005
7.962186830970398e-007	1.896858e+001	6.188207e-001	7.306010e-005
8.063615402389569e-007	1.896885e+001	6.165920e-001	6.912617e-005
8.165043973808742e-007	1.896913e+001	6.144803e-001	6.551467e-005
8.266472545227913e-007	1.896940e+001	6.124856e-001	6.222561e-005
8.367901116647085e-007	1.896967e+001	6.106079e-001	5.925899e-005
8.469329688066256e-007	1.896994e+001	6.088471e-001	5.661479e-005
8.570758259485427e-007	1.897021e+001	6.072032e-001	5.429304e-005
8.700758259473380e-007	1.897056e+001	6.052079e-001	5.155734e-005
8.830758259461332e-007	1.897090e+001	6.033093e-001	4.902704e-005
8.960758259449284e-007	1.897125e+001	6.015073e-001	4.670214e-005
9.090758259437236e-007	1.897159e+001	5.998020e-001	4.458264e-005
9.220758259425189e-007	1.897193e+001	5.981934e-001	4.266855e-005
9.350758259413141e-007	1.897227e+001	5.966815e-001	4.095985e-005
9.480758259401093e-007	1.897262e+001	5.952662e-001	3.945655e-005
9.730758259377925e-007	1.897327e+001	5.926918e-001	3.678805e-005
9.910758259361243e-007	1.897374e+001	5.909960e-001	3.515041e-005
1.009075825934456e-006	1.897421e+001	5.893804e-001	3.363312e-005
1.027075825932788e-006	1.897467e+001	5.878447e-001	3.223620e-005
1.045075825931120e-006	1.897514e+001	5.863892e-001	3.095964e-005
1.063075825929452e-006	1.897560e+001	5.850137e-001	2.980343e-005
1.081075825927784e-006	1.897606e+001	5.837182e-001	2.876758e-005
1.099075825926115e-006	1.897653e+001	5.825028e-001	2.785209e-005
1.122504397352516e-006	1.897712e+001	5.810005e-001	2.675057e-005
1.145932968778916e-006	1.897772e+001	5.795677e-001	2.572752e-005
1.169361540205316e-006	1.897831e+001	5.782045e-001	2.478295e-005
1.192790111631716e-006	1.897891e+001	5.769108e-001	2.391685e-005
1.216218683058116e-006	1.897950e+001	5.756866e-001	2.312924e-005
1.239647254484517e-006	1.898008e+001	5.745321e-001	2.242011e-005
1.263075825910917e-006	1.898067e+001	5.734470e-001	2.178946e-005
1.293075825908137e-006	1.898142e+001	5.721254e-001	2.103953e-005
1.323075825905356e-006	1.898216e+001	5.708633e-001	2.034027e-005
1.353075825902576e-006	1.898290e+001	5.696607e-001	1.969169e-005
1.383075825899796e-006	1.898364e+001	5.685176e-001	1.909379e-005
1.413075825897016e-006	1.898437e+001	5.674341e-001	1.854656e-005
1.443075825894235e-006	1.898510e+001	5.664100e-001	1.805001e-005
1.473075825891455e-006	1.898582e+001	5.654455e-001	1.760414e-005
1.510790111602246e-006	1.898673e+001	5.642899e-001	1.708072e-005
1.548504397313036e-006	1.898763e+001	5.631845e-001	1.659003e-005
1.586218683023827e-006	1.898853e+001	5.621292e-001	1.613209e-005
1.623932968734617e-006	1.898942e+001	5.611241e-001	1.570690e-005
1.661647254445408e-006	1.899031e+001	5.601691e-001	1.531444e-005
1.699361540156198e-006	1.899119e+001	5.592642e-001	1.495472e-005
1.737075825866989e-006	1.899206e+001	5.584096e-001	1.462774e-005
1.774075825863560e-006	1.899291e+001	5.576019e-001	1.432208e-005
1.811075825860131e-006	1.899376e+001	5.568221e-001	1.403099e-005
1.848075825856702e-006	1.899460e+001	5.560701e-001	1.375446e-005
1.885075825853273e-006	1.899544e+001	5.553459e-001	1.349250e-005
1.922075825849844e-006	1.899627e+001	5.546496e-001	1.324510e-005
1.959075825846415e-006	1.899709e+001	5.539811e-001	1.301227e-005
1.996075825842986e-006	1.899791e+001	5.533404e-001	1.279400e-005
1.997075825842893e-006	1.899793e+001	5.533233e-001	1.278816e-005
2.049932968695138e-006	1.899910e+001	5.524471e-001	1.249410e-005
2.102790111547382e-006	1.900025e+001	5.516041e-001	1.221443e-005
2.155647254399626e-006	1.900139e+001	5.507944e-001	1.194915e-005
2.208504397251871e-006	1.900252e+001	5.500180e-001	1.169826e-005
2.261361540104115e-006	1.900363e+001	5.492749e-001	1.146177e-005
2.314218682956359e-006	1.900474e+001	5.485651e-001	1.123966e-005
2.367075825808604e-006	1.900584e+001	5.478885e-001	1.103194e-005
2.428504397231482e-006	1.900710e+001	5.471314e-001	1.080105e-005
2.489932968654361e-006	1.900834e+001	5.463996e-001	1.057942e-005
2.551361540077239e-006	1.900957e+001	5.456934e-001	1.036705e-005
2.612790111500118e-006	1.901079e+001	5.450125e-001	1.016394e-005
2.674218682922996e-006	1.901199e+001	5.443572e-001	9.970093e-006
2.735647254345875e-006	1.901318e+001	5.437272e-001	9.785507e-006
2.797075825768753e-006	1.901435e+001	5.431227e-001	9.610181e-006
2.828932968622944e-006	1.901495e+001	5.428147e-001	9.520876e-006
2.860790111477134e-006	1.901555e+001	5.425113e-001	9.433059e-006
2.892647254331325e-006	1.901614e+001	5.422123e-001	9.346732e-006
2.924504397185515e-006	1.901673e+001	5.419179e-001	9.261894e-006
2.956361540039706e-006	1.901732e+001	5.416280e-001	9.178546e-006
2.988218682893896e-006	1.901790e+001	5.413425e-001	9.096687e-006
3.020075825748087e-006	1.901848e+001	5.410616e-001	9.016318e-006
3.021075825747994e-006	1.901850e+001	5.410529e-001	9.013810e-006
3.100932968597736e-006	1.901993e+001	5.403693e-001	8.818963e-006
3.180790111447479e-006	1.902133e+001	5.397038e-001	8.629742e-006
3.260647254297220e-006	1.902271e+001	5.390565e-001	8.446148e-006
3.340504397146963e-006	1.902407e+001	5.384273e-001	8.268181e-006
3.420361539996705e-006	1.902540e+001	5.378162e-001	8.095841e-006
3.500218682846447e-006	1.902670e+001	5.372233e-001	7.929127e-006
3.580075825696189e-006	1.902798e+001	5.366485e-001	7.768041e-006
3.646361539975760e-006	1.902903e+001	5.361796e-001	7.636677e-006
3.712647254255331e-006	1.903005e+001	5.357176e-001	7.507461e-006
3.778932968534903e-006	1.903106e+001	5.352626e-001	7.380393e-006
3.845218682814474e-006	1.903205e+001	5.348146e-001	7.255472e-006
3.911504397094046e-006	1.903303e+001	5.343737e-001	7.132699e-006
3.977790111373617e-006	1.903399e+001	5.339397e-001	7.012073e-006
4.044075825653188e-006	1.903493e+001	5.335127e-001	6.893595e-006
4.045075825653095e-006	1.903494e+001	5.335063e-001	6.891815e-006
4.182075825640398e-006	1.903683e+001	5.326441e-001	6.652982e-006
